,id_num,picture_num,race,Male,facial_hair,age,glasses,quality
321798_03M36.jpg,321798,3,B,1,,20,,GOOD
285760_00M18.jpg,285760,0,B,1,,2,,GOOD
315806_00M16.jpg,315806,0,B,1,,0,,GOOD
307105_00M33.jpg,307105,0,B,1,,17,,GOOD
067089_5M41.jpg,67089,5,B,1,,25,,GOOD
266593_02M22.jpg,266593,2,B,1,,6,,GOOD
242882_05M23.jpg,242882,5,B,1,,7,,GOOD
318845_25F34.jpg,318845,25,B,-1,,18,,GOOD
287657_04F35.jpg,287657,4,W,-1,,19,,GOOD
151417_01M34.jpg,151417,1,W,1,,18,,GOOD
157224_03M39.jpg,157224,3,B,1,,23,,GOOD
241178_02M25.jpg,241178,2,B,1,,9,,GOOD
195616_01M27.jpg,195616,1,W,1,,11,,GOOD
316989_02M40.jpg,316989,2,B,1,,24,,GOOD
325638_01F28.jpg,325638,1,B,-1,,12,,GOOD
272624_00M20.jpg,272624,0,B,1,,4,,GOOD
304553_01M29.jpg,304553,1,B,1,,13,,GOOD
312111_02M31.jpg,312111,2,W,1,,15,,GOOD
218452_04M35.jpg,218452,4,B,1,,19,,GOOD
304596_02M18.jpg,304596,2,B,1,,2,,GOOD
206860_01M28.jpg,206860,1,B,1,,12,,GOOD
134059_1F35.jpg,134059,1,W,-1,,19,,GOOD
206932_25M36.jpg,206932,25,B,1,,20,,GOOD
325171_00M17.jpg,325171,0,B,1,,1,,GOOD
238603_02M48.jpg,238603,2,H,1,,32,,GOOD
274071_10M21.jpg,274071,10,B,1,,5,,GOOD
068330_2M39.jpg,68330,2,B,1,,23,,GOOD
109122_07M39.jpg,109122,7,B,1,,23,,GOOD
099167_1M35.jpg,99167,1,B,1,,19,,GOOD
230077_00F41.jpg,230077,0,B,-1,,25,,GOOD
318845_03F33.jpg,318845,3,B,-1,,17,,GOOD
334740_02M16.jpg,334740,2,B,1,,0,,GOOD
327774_02M16.jpg,327774,2,B,1,,0,,GOOD
254075_01M22.jpg,254075,1,B,1,,6,,GOOD
289061_02M36.jpg,289061,2,W,1,,20,,GOOD
046763_00F49.jpg,46763,0,W,-1,,33,,GOOD
144047_01M40.jpg,144047,1,W,1,,24,,GOOD
240718_04M34.jpg,240718,4,H,1,,18,,GOOD
285418_03M33.jpg,285418,3,B,1,,17,,GOOD
233435_03M26.jpg,233435,3,B,1,,10,,GOOD
056581_0M45.jpg,56581,0,B,1,,29,,GOOD
218226_01M29.jpg,218226,1,B,1,,13,,GOOD
094959_0F38.jpg,94959,0,B,-1,,22,,GOOD
227141_03M25.jpg,227141,3,B,1,,9,,GOOD
121924_0M39.jpg,121924,0,B,1,,23,,GOOD
253261_01F33.jpg,253261,1,W,-1,,17,,GOOD
289825_00M48.jpg,289825,0,B,1,,32,,GOOD
126202_03M35.jpg,126202,3,B,1,,19,,GOOD
322640_04F28.jpg,322640,4,W,-1,,12,,GOOD
294084_01M33.jpg,294084,1,B,1,,17,,GOOD
284810_04F27.jpg,284810,4,W,-1,,11,,GOOD
057006_3M50.jpg,57006,3,B,1,,34,,GOOD
208405_00M27.jpg,208405,0,W,1,,11,,GOOD
093225_0F38.jpg,93225,0,W,-1,,22,,GOOD
090071_4M44.jpg,90071,4,B,1,,28,,GOOD
073074_0M36.jpg,73074,0,W,1,,20,,GOOD
102532_4M37.jpg,102532,4,B,1,,21,,GOOD
145901_06M33.jpg,145901,6,B,1,,17,,GOOD
253457_03M30.jpg,253457,3,B,1,,14,,GOOD
322546_01M19.jpg,322546,1,B,1,,3,,GOOD
222787_00M24.jpg,222787,0,B,1,,8,,GOOD
185152_00M48.jpg,185152,0,B,1,,32,,GOOD
327413_00M20.jpg,327413,0,B,1,,4,,GOOD
074580_14M45.jpg,74580,14,B,1,,29,,GOOD
095543_02M39.jpg,95543,2,B,1,,23,,GOOD
318221_02M26.jpg,318221,2,W,1,,10,,GOOD
222378_01M25.jpg,222378,1,B,1,,9,,GOOD
117606_1M32.jpg,117606,1,B,1,,16,,GOOD
300457_03F37.jpg,300457,3,W,-1,,21,,GOOD
223041_00M29.jpg,223041,0,W,1,,13,,GOOD
180761_00M27.jpg,180761,0,B,1,,11,,GOOD
269985_02F21.jpg,269985,2,B,-1,,5,,GOOD
259287_00M24.jpg,259287,0,B,1,,8,,GOOD
059868_0M40.jpg,59868,0,W,1,,24,,GOOD
297272_02F19.jpg,297272,2,B,-1,,3,,GOOD
075603_0M41.jpg,75603,0,B,1,,25,,GOOD
316451_00M22.jpg,316451,0,B,1,,6,,GOOD
079214_5M37.jpg,79214,5,B,1,,21,,GOOD
120838_5M34.jpg,120838,5,W,1,,18,,GOOD
331708_03M17.jpg,331708,3,B,1,,1,,GOOD
059325_1M48.jpg,59325,1,B,1,,32,,GOOD
344647_01M49.jpg,344647,1,B,1,,33,,GOOD
240019_01M45.jpg,240019,1,B,1,,29,,GOOD
173445_01F41.jpg,173445,1,W,-1,,25,,GOOD
048480_02M48.jpg,48480,2,B,1,,32,,GOOD
122418_1M34.jpg,122418,1,B,1,,18,,GOOD
