PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:4
Random Seed: 1
Output Path: afad-ce__seed1
Script: afad-ce.py
Epoch: 001/200 | Batch 0000/0462 | Cost: 3.3947
Epoch: 001/200 | Batch 0050/0462 | Cost: 2.9218
Epoch: 001/200 | Batch 0100/0462 | Cost: 2.8720
Epoch: 001/200 | Batch 0150/0462 | Cost: 2.7545
Epoch: 001/200 | Batch 0200/0462 | Cost: 2.7720
Epoch: 001/200 | Batch 0250/0462 | Cost: 2.8397
Epoch: 001/200 | Batch 0300/0462 | Cost: 2.8124
Epoch: 001/200 | Batch 0350/0462 | Cost: 2.8364
Epoch: 001/200 | Batch 0400/0462 | Cost: 2.8370
Epoch: 001/200 | Batch 0450/0462 | Cost: 2.8024
MAE/RMSE: | Current Valid: 4.64/6.48 Ep. 0 | Best Valid : 4.64/6.48 Ep. 0
Time elapsed: 2.01 min
Epoch: 002/200 | Batch 0000/0462 | Cost: 2.7380
Epoch: 002/200 | Batch 0050/0462 | Cost: 2.7094
Epoch: 002/200 | Batch 0100/0462 | Cost: 2.7030
Epoch: 002/200 | Batch 0150/0462 | Cost: 2.7080
Epoch: 002/200 | Batch 0200/0462 | Cost: 2.7345
Epoch: 002/200 | Batch 0250/0462 | Cost: 2.7209
Epoch: 002/200 | Batch 0300/0462 | Cost: 2.7442
Epoch: 002/200 | Batch 0350/0462 | Cost: 2.6759
Epoch: 002/200 | Batch 0400/0462 | Cost: 2.6817
Epoch: 002/200 | Batch 0450/0462 | Cost: 2.6869
MAE/RMSE: | Current Valid: 4.30/6.03 Ep. 1 | Best Valid : 4.30/6.03 Ep. 1
Time elapsed: 4.38 min
Epoch: 003/200 | Batch 0000/0462 | Cost: 2.6826
Epoch: 003/200 | Batch 0050/0462 | Cost: 2.5920
Epoch: 003/200 | Batch 0100/0462 | Cost: 2.6465
Epoch: 003/200 | Batch 0150/0462 | Cost: 2.6741
Epoch: 003/200 | Batch 0200/0462 | Cost: 2.6406
Epoch: 003/200 | Batch 0250/0462 | Cost: 2.6124
Epoch: 003/200 | Batch 0300/0462 | Cost: 2.7358
Epoch: 003/200 | Batch 0350/0462 | Cost: 2.7265
Epoch: 003/200 | Batch 0400/0462 | Cost: 2.7806
Epoch: 003/200 | Batch 0450/0462 | Cost: 2.6836
MAE/RMSE: | Current Valid: 3.98/5.51 Ep. 2 | Best Valid : 3.98/5.51 Ep. 2
Time elapsed: 6.79 min
Epoch: 004/200 | Batch 0000/0462 | Cost: 2.6306
Epoch: 004/200 | Batch 0050/0462 | Cost: 2.5947
Epoch: 004/200 | Batch 0100/0462 | Cost: 2.6373
Epoch: 004/200 | Batch 0150/0462 | Cost: 2.6912
Epoch: 004/200 | Batch 0200/0462 | Cost: 2.6781
Epoch: 004/200 | Batch 0250/0462 | Cost: 2.6437
Epoch: 004/200 | Batch 0300/0462 | Cost: 2.5757
Epoch: 004/200 | Batch 0350/0462 | Cost: 2.6060
Epoch: 004/200 | Batch 0400/0462 | Cost: 2.6359
Epoch: 004/200 | Batch 0450/0462 | Cost: 2.6941
MAE/RMSE: | Current Valid: 4.19/5.83 Ep. 3 | Best Valid : 3.98/5.51 Ep. 2
Time elapsed: 9.22 min
Epoch: 005/200 | Batch 0000/0462 | Cost: 2.6505
Epoch: 005/200 | Batch 0050/0462 | Cost: 2.6166
Epoch: 005/200 | Batch 0100/0462 | Cost: 2.4968
Epoch: 005/200 | Batch 0150/0462 | Cost: 2.5577
Epoch: 005/200 | Batch 0200/0462 | Cost: 2.5468
Epoch: 005/200 | Batch 0250/0462 | Cost: 2.6448
Epoch: 005/200 | Batch 0300/0462 | Cost: 2.6812
Epoch: 005/200 | Batch 0350/0462 | Cost: 2.6473
Epoch: 005/200 | Batch 0400/0462 | Cost: 2.6743
Epoch: 005/200 | Batch 0450/0462 | Cost: 2.6012
MAE/RMSE: | Current Valid: 3.95/5.56 Ep. 4 | Best Valid : 3.95/5.56 Ep. 4
Time elapsed: 11.68 min
Epoch: 006/200 | Batch 0000/0462 | Cost: 2.5162
Epoch: 006/200 | Batch 0050/0462 | Cost: 2.5497
Epoch: 006/200 | Batch 0100/0462 | Cost: 2.6330
Epoch: 006/200 | Batch 0150/0462 | Cost: 2.5628
Epoch: 006/200 | Batch 0200/0462 | Cost: 2.6716
Epoch: 006/200 | Batch 0250/0462 | Cost: 2.5627
Epoch: 006/200 | Batch 0300/0462 | Cost: 2.6609
Epoch: 006/200 | Batch 0350/0462 | Cost: 2.5176
Epoch: 006/200 | Batch 0400/0462 | Cost: 2.5088
Epoch: 006/200 | Batch 0450/0462 | Cost: 2.5776
MAE/RMSE: | Current Valid: 3.87/5.49 Ep. 5 | Best Valid : 3.87/5.49 Ep. 5
Time elapsed: 14.15 min
Epoch: 007/200 | Batch 0000/0462 | Cost: 2.6293
Epoch: 007/200 | Batch 0050/0462 | Cost: 2.5075
Epoch: 007/200 | Batch 0100/0462 | Cost: 2.5634
Epoch: 007/200 | Batch 0150/0462 | Cost: 2.5747
Epoch: 007/200 | Batch 0200/0462 | Cost: 2.5870
Epoch: 007/200 | Batch 0250/0462 | Cost: 2.5533
Epoch: 007/200 | Batch 0300/0462 | Cost: 2.5528
Epoch: 007/200 | Batch 0350/0462 | Cost: 2.5987
Epoch: 007/200 | Batch 0400/0462 | Cost: 2.5063
Epoch: 007/200 | Batch 0450/0462 | Cost: 2.5869
MAE/RMSE: | Current Valid: 3.92/5.48 Ep. 6 | Best Valid : 3.87/5.49 Ep. 5
Time elapsed: 16.61 min
Epoch: 008/200 | Batch 0000/0462 | Cost: 2.5549
Epoch: 008/200 | Batch 0050/0462 | Cost: 2.4345
Epoch: 008/200 | Batch 0100/0462 | Cost: 2.6045
Epoch: 008/200 | Batch 0150/0462 | Cost: 2.5431
Epoch: 008/200 | Batch 0200/0462 | Cost: 2.6007
Epoch: 008/200 | Batch 0250/0462 | Cost: 2.5794
Epoch: 008/200 | Batch 0300/0462 | Cost: 2.5926
Epoch: 008/200 | Batch 0350/0462 | Cost: 2.5986
Epoch: 008/200 | Batch 0400/0462 | Cost: 2.5460
Epoch: 008/200 | Batch 0450/0462 | Cost: 2.5863
MAE/RMSE: | Current Valid: 3.83/5.38 Ep. 7 | Best Valid : 3.83/5.38 Ep. 7
Time elapsed: 19.10 min
Epoch: 009/200 | Batch 0000/0462 | Cost: 2.5542
Epoch: 009/200 | Batch 0050/0462 | Cost: 2.4525
Epoch: 009/200 | Batch 0100/0462 | Cost: 2.5425
Epoch: 009/200 | Batch 0150/0462 | Cost: 2.5451
Epoch: 009/200 | Batch 0200/0462 | Cost: 2.5718
Epoch: 009/200 | Batch 0250/0462 | Cost: 2.4613
Epoch: 009/200 | Batch 0300/0462 | Cost: 2.5090
