PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:7
Random Seed: 2
Task Importance Weight: 0
Output Path: afad-ordinal__seed2
Script: afad-ordinal.py
Epoch: 001/200 | Batch 0000/0462 | Cost: 18.7791
Epoch: 001/200 | Batch 0050/0462 | Cost: 9.3645
Epoch: 001/200 | Batch 0100/0462 | Cost: 8.3775
Epoch: 001/200 | Batch 0150/0462 | Cost: 9.2543
Epoch: 001/200 | Batch 0200/0462 | Cost: 9.2786
Epoch: 001/200 | Batch 0250/0462 | Cost: 8.0573
Epoch: 001/200 | Batch 0300/0462 | Cost: 8.7150
Epoch: 001/200 | Batch 0350/0462 | Cost: 8.4707
Epoch: 001/200 | Batch 0400/0462 | Cost: 8.0076
Epoch: 001/200 | Batch 0450/0462 | Cost: 8.1379
MAE/RMSE: | Current Valid: 8.43/9.45 Ep. 0 | Best Valid : 8.43/9.45 Ep. 0
Time elapsed: 2.51 min
Epoch: 002/200 | Batch 0000/0462 | Cost: 8.4109
Epoch: 002/200 | Batch 0050/0462 | Cost: 8.1117
Epoch: 002/200 | Batch 0100/0462 | Cost: 6.9579
Epoch: 002/200 | Batch 0150/0462 | Cost: 8.7017
Epoch: 002/200 | Batch 0200/0462 | Cost: 8.0817
Epoch: 002/200 | Batch 0250/0462 | Cost: 8.0626
Epoch: 002/200 | Batch 0300/0462 | Cost: 7.6984
Epoch: 002/200 | Batch 0350/0462 | Cost: 7.7303
Epoch: 002/200 | Batch 0400/0462 | Cost: 8.4990
Epoch: 002/200 | Batch 0450/0462 | Cost: 7.4601
MAE/RMSE: | Current Valid: 7.89/9.01 Ep. 1 | Best Valid : 7.89/9.01 Ep. 1
Time elapsed: 5.02 min
Epoch: 003/200 | Batch 0000/0462 | Cost: 8.2840
Epoch: 003/200 | Batch 0050/0462 | Cost: 7.3449
Epoch: 003/200 | Batch 0100/0462 | Cost: 7.5586
Epoch: 003/200 | Batch 0150/0462 | Cost: 8.1332
Epoch: 003/200 | Batch 0200/0462 | Cost: 8.3571
Epoch: 003/200 | Batch 0250/0462 | Cost: 7.2138
Epoch: 003/200 | Batch 0300/0462 | Cost: 7.8643
Epoch: 003/200 | Batch 0350/0462 | Cost: 7.9057
