PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:2
Random Seed: 2
Output Path: cacd-ce__seed2
Script: cacd-ce.py
Epoch: 001/200 | Batch 0000/0448 | Cost: 4.1032
Epoch: 001/200 | Batch 0050/0448 | Cost: 3.8032
Epoch: 001/200 | Batch 0100/0448 | Cost: 3.7450
Epoch: 001/200 | Batch 0150/0448 | Cost: 3.6909
Epoch: 001/200 | Batch 0200/0448 | Cost: 3.5938
Epoch: 001/200 | Batch 0250/0448 | Cost: 3.5981
Epoch: 001/200 | Batch 0300/0448 | Cost: 3.6088
Epoch: 001/200 | Batch 0350/0448 | Cost: 3.5908
Epoch: 001/200 | Batch 0400/0448 | Cost: 3.6577
MAE/RMSE: | Current Valid: 8.51/11.30 Ep. 0 | Best Valid : 8.51/11.30 Ep. 0
Time elapsed: 1.79 min
Epoch: 002/200 | Batch 0000/0448 | Cost: 3.5080
Epoch: 002/200 | Batch 0050/0448 | Cost: 3.5085
Epoch: 002/200 | Batch 0100/0448 | Cost: 3.5210
Epoch: 002/200 | Batch 0150/0448 | Cost: 3.4797
Epoch: 002/200 | Batch 0200/0448 | Cost: 3.4527
Epoch: 002/200 | Batch 0250/0448 | Cost: 3.4158
Epoch: 002/200 | Batch 0300/0448 | Cost: 3.5145
Epoch: 002/200 | Batch 0350/0448 | Cost: 3.5093
Epoch: 002/200 | Batch 0400/0448 | Cost: 3.5216
MAE/RMSE: | Current Valid: 7.57/9.99 Ep. 1 | Best Valid : 7.57/9.99 Ep. 1
Time elapsed: 3.58 min
Epoch: 003/200 | Batch 0000/0448 | Cost: 3.4587
Epoch: 003/200 | Batch 0050/0448 | Cost: 3.4200
Epoch: 003/200 | Batch 0100/0448 | Cost: 3.4121
Epoch: 003/200 | Batch 0150/0448 | Cost: 3.4124
Epoch: 003/200 | Batch 0200/0448 | Cost: 3.4830
Epoch: 003/200 | Batch 0250/0448 | Cost: 3.4315
Epoch: 003/200 | Batch 0300/0448 | Cost: 3.4837
Epoch: 003/200 | Batch 0350/0448 | Cost: 3.4076
Epoch: 003/200 | Batch 0400/0448 | Cost: 3.2847
MAE/RMSE: | Current Valid: 6.63/8.88 Ep. 2 | Best Valid : 6.63/8.88 Ep. 2
Time elapsed: 5.38 min
