PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:0
Random Seed: 2
Task Importance Weight: 0
Output Path: cacd-coral__seed2
Script: cacd-coral.py
Epoch: 001/200 | Batch 0000/0448 | Cost: 33.3718
Epoch: 001/200 | Batch 0050/0448 | Cost: 32.3550
Epoch: 001/200 | Batch 0100/0448 | Cost: 31.0507
Epoch: 001/200 | Batch 0150/0448 | Cost: 30.8316
Epoch: 001/200 | Batch 0200/0448 | Cost: 30.1238
Epoch: 001/200 | Batch 0250/0448 | Cost: 29.9141
Epoch: 001/200 | Batch 0300/0448 | Cost: 30.3090
Epoch: 001/200 | Batch 0350/0448 | Cost: 28.7060
Epoch: 001/200 | Batch 0400/0448 | Cost: 28.7566
MAE/RMSE: | Current Valid: 19.25/22.25 Ep. 0 | Best Valid : 19.25/22.25 Ep. 0
Time elapsed: 1.99 min
Epoch: 002/200 | Batch 0000/0448 | Cost: 28.7020
Epoch: 002/200 | Batch 0050/0448 | Cost: 28.4868
Epoch: 002/200 | Batch 0100/0448 | Cost: 28.0157
Epoch: 002/200 | Batch 0150/0448 | Cost: 27.3281
Epoch: 002/200 | Batch 0200/0448 | Cost: 27.1613
Epoch: 002/200 | Batch 0250/0448 | Cost: 26.8751
Epoch: 002/200 | Batch 0300/0448 | Cost: 26.6746
Epoch: 002/200 | Batch 0350/0448 | Cost: 26.1522
Epoch: 002/200 | Batch 0400/0448 | Cost: 25.3593
MAE/RMSE: | Current Valid: 13.16/15.92 Ep. 1 | Best Valid : 13.16/15.92 Ep. 1
Time elapsed: 3.99 min
Epoch: 003/200 | Batch 0000/0448 | Cost: 25.1849
Epoch: 003/200 | Batch 0050/0448 | Cost: 25.5235
Epoch: 003/200 | Batch 0100/0448 | Cost: 25.5628
Epoch: 003/200 | Batch 0150/0448 | Cost: 24.6652
Epoch: 003/200 | Batch 0200/0448 | Cost: 24.6788
Epoch: 003/200 | Batch 0250/0448 | Cost: 24.3648
Epoch: 003/200 | Batch 0300/0448 | Cost: 24.1997
Epoch: 003/200 | Batch 0350/0448 | Cost: 23.8556
Epoch: 003/200 | Batch 0400/0448 | Cost: 23.7424
MAE/RMSE: | Current Valid: 13.08/15.69 Ep. 2 | Best Valid : 13.08/15.69 Ep. 2
Time elapsed: 5.99 min
Epoch: 004/200 | Batch 0000/0448 | Cost: 23.3077
Epoch: 004/200 | Batch 0050/0448 | Cost: 23.0331
Epoch: 004/200 | Batch 0100/0448 | Cost: 23.1064
Epoch: 004/200 | Batch 0150/0448 | Cost: 23.0504
Epoch: 004/200 | Batch 0200/0448 | Cost: 22.4595
Epoch: 004/200 | Batch 0250/0448 | Cost: 22.3561
Epoch: 004/200 | Batch 0300/0448 | Cost: 22.4759
Epoch: 004/200 | Batch 0350/0448 | Cost: 21.8072
Epoch: 004/200 | Batch 0400/0448 | Cost: 22.0854
MAE/RMSE: | Current Valid: 13.95/16.70 Ep. 3 | Best Valid : 13.08/15.69 Ep. 2
Time elapsed: 7.98 min
Epoch: 005/200 | Batch 0000/0448 | Cost: 22.0171
Epoch: 005/200 | Batch 0050/0448 | Cost: 21.1351
Epoch: 005/200 | Batch 0100/0448 | Cost: 21.6058
Epoch: 005/200 | Batch 0150/0448 | Cost: 21.8959
Epoch: 005/200 | Batch 0200/0448 | Cost: 21.1978
Epoch: 005/200 | Batch 0250/0448 | Cost: 21.3507
Epoch: 005/200 | Batch 0300/0448 | Cost: 20.7794
Epoch: 005/200 | Batch 0350/0448 | Cost: 20.9497
Epoch: 005/200 | Batch 0400/0448 | Cost: 19.9716
MAE/RMSE: | Current Valid: 7.81/9.77 Ep. 4 | Best Valid : 7.81/9.77 Ep. 4
Time elapsed: 9.98 min
Epoch: 006/200 | Batch 0000/0448 | Cost: 20.5097
Epoch: 006/200 | Batch 0050/0448 | Cost: 19.8845
Epoch: 006/200 | Batch 0100/0448 | Cost: 20.0975
Epoch: 006/200 | Batch 0150/0448 | Cost: 20.8525
Epoch: 006/200 | Batch 0200/0448 | Cost: 19.6713
Epoch: 006/200 | Batch 0250/0448 | Cost: 19.5229
Epoch: 006/200 | Batch 0300/0448 | Cost: 19.5320
Epoch: 006/200 | Batch 0350/0448 | Cost: 19.7842
Epoch: 006/200 | Batch 0400/0448 | Cost: 20.1325
MAE/RMSE: | Current Valid: 8.39/10.60 Ep. 5 | Best Valid : 7.81/9.77 Ep. 4
Time elapsed: 11.97 min
Epoch: 007/200 | Batch 0000/0448 | Cost: 19.1432
Epoch: 007/200 | Batch 0050/0448 | Cost: 18.7431
Epoch: 007/200 | Batch 0100/0448 | Cost: 19.0431
Epoch: 007/200 | Batch 0150/0448 | Cost: 18.7204
Epoch: 007/200 | Batch 0200/0448 | Cost: 19.0437
Epoch: 007/200 | Batch 0250/0448 | Cost: 18.6981
Epoch: 007/200 | Batch 0300/0448 | Cost: 18.8290
Epoch: 007/200 | Batch 0350/0448 | Cost: 18.1735
Epoch: 007/200 | Batch 0400/0448 | Cost: 18.4748
