PyTorch Version: 1.5.0
CUDA device available: True
Using CUDA device: cuda:2
Random Seed: 0
Task Importance Weight: 0
Output Path: cacd-ordinal__seed0
Script: cacd-ordinal.py
Epoch: 001/200 | Batch 0000/0448 | Cost: 36.8004
Epoch: 001/200 | Batch 0050/0448 | Cost: 18.1733
Epoch: 001/200 | Batch 0100/0448 | Cost: 18.0519
Epoch: 001/200 | Batch 0150/0448 | Cost: 16.9704
Epoch: 001/200 | Batch 0200/0448 | Cost: 18.6665
Epoch: 001/200 | Batch 0250/0448 | Cost: 16.5112
Epoch: 001/200 | Batch 0300/0448 | Cost: 16.8854
Epoch: 001/200 | Batch 0350/0448 | Cost: 14.9784
Epoch: 001/200 | Batch 0400/0448 | Cost: 15.3013
MAE/RMSE: | Current Valid: 9.72/11.90 Ep. 0 | Best Valid : 9.72/11.90 Ep. 0
Time elapsed: 1.80 min
Epoch: 002/200 | Batch 0000/0448 | Cost: 15.0133
Epoch: 002/200 | Batch 0050/0448 | Cost: 15.8358
Epoch: 002/200 | Batch 0100/0448 | Cost: 15.4270
Epoch: 002/200 | Batch 0150/0448 | Cost: 14.9619
Epoch: 002/200 | Batch 0200/0448 | Cost: 16.0130
Epoch: 002/200 | Batch 0250/0448 | Cost: 14.4641
Epoch: 002/200 | Batch 0300/0448 | Cost: 14.8448
Epoch: 002/200 | Batch 0350/0448 | Cost: 15.2186
Epoch: 002/200 | Batch 0400/0448 | Cost: 12.8259
MAE/RMSE: | Current Valid: 6.75/8.95 Ep. 1 | Best Valid : 6.75/8.95 Ep. 1
Time elapsed: 3.62 min
Epoch: 003/200 | Batch 0000/0448 | Cost: 14.8178
Epoch: 003/200 | Batch 0050/0448 | Cost: 13.7736
Epoch: 003/200 | Batch 0100/0448 | Cost: 14.0562
Epoch: 003/200 | Batch 0150/0448 | Cost: 14.3092
Epoch: 003/200 | Batch 0200/0448 | Cost: 14.7381
Epoch: 003/200 | Batch 0250/0448 | Cost: 15.7425
Epoch: 003/200 | Batch 0300/0448 | Cost: 14.7521
Epoch: 003/200 | Batch 0350/0448 | Cost: 13.6978
Epoch: 003/200 | Batch 0400/0448 | Cost: 13.7866
MAE/RMSE: | Current Valid: 6.96/9.25 Ep. 2 | Best Valid : 6.75/8.95 Ep. 1
Time elapsed: 5.43 min
Epoch: 004/200 | Batch 0000/0448 | Cost: 12.5840
Epoch: 004/200 | Batch 0050/0448 | Cost: 14.4631
Epoch: 004/200 | Batch 0100/0448 | Cost: 13.5736
Epoch: 004/200 | Batch 0150/0448 | Cost: 14.2838
Epoch: 004/200 | Batch 0200/0448 | Cost: 13.9256
Epoch: 004/200 | Batch 0250/0448 | Cost: 11.9535
Epoch: 004/200 | Batch 0300/0448 | Cost: 13.5164
Epoch: 004/200 | Batch 0350/0448 | Cost: 13.7996
Epoch: 004/200 | Batch 0400/0448 | Cost: 14.4412
MAE/RMSE: | Current Valid: 6.54/8.52 Ep. 3 | Best Valid : 6.54/8.52 Ep. 3
Time elapsed: 7.24 min
Epoch: 005/200 | Batch 0000/0448 | Cost: 13.5008
Epoch: 005/200 | Batch 0050/0448 | Cost: 13.0266
Epoch: 005/200 | Batch 0100/0448 | Cost: 12.7544
Epoch: 005/200 | Batch 0150/0448 | Cost: 13.9291
Epoch: 005/200 | Batch 0200/0448 | Cost: 13.5904
Epoch: 005/200 | Batch 0250/0448 | Cost: 14.0322
